"V1","V2","V3","Class"
108,304,306,1
343,201,273,1
86,78,67,1
242,21,264,1
293,117,60,1
117,184,249,1
331,113,204,1
103,292,259,1
27,150,168,1
62,166,280,1
237,138,57,1
15,74,66,1
11,71,296,1
53,114,297,1
248,19,285,1
37,104,208,1
317,79,203,1
163,306,33,1
17,142,205,1
16,102,69,1
214,44,279,1
41,264,319,1
21,167,311,1
240,106,272,1
1,232,114,1
172,237,72,1
346,73,78,1
219,83,233,1
93,37,55,1
205,319,278,1
112,282,275,1
68,238,8,1
167,338,84,1
75,324,291,1
274,152,54,1
7,52,317,0
231,195,127,0
23,165,261,1
173,62,312,1
208,15,132,0
253,148,257,1
344,4,251,1
207,274,210,0
99,84,274,1
189,220,214,1
181,317,216,1
190,224,194,0
115,139,175,0
183,122,21,0
59,105,332,0
297,240,0,1
129,269,169,1
4,226,61,1
155,30,266,1
156,260,242,1
195,128,265,1
30,335,107,0
249,214,227,0
36,308,122,0
203,63,267,1
333,212,45,1
246,215,118,0
3,331,117,0
79,69,316,0
56,5,2,1
198,91,153,1
186,43,201,1
196,130,125,0
301,236,110,0
113,300,178,1
260,206,245,0
335,325,254,1
255,42,88,0
125,286,195,0
170,329,180,1
146,311,185,0
139,288,224,0
140,144,35,1
166,115,97,0
169,268,83,0
268,189,37,1
267,182,149,1
13,107,75,1
289,176,284,1
92,246,335,1
272,235,13,0
61,262,309,0
298,133,187,0
120,316,215,0
33,233,271,1
212,168,147,0
159,228,31,1
334,97,232,1
47,64,218,0
35,13,104,0
111,47,258,1
280,67,340,0
124,242,50,1
294,271,24,0
213,175,64,1
238,239,159,0
281,120,96,0
98,118,29,0
252,34,112,0
95,131,133,0
325,1,140,0
97,284,255,0
303,299,320,0
84,257,162,0
256,243,220,0
215,57,65,1
264,197,327,0
138,141,148,1
250,7,115,0
132,301,80,0
24,145,142,0
71,187,301,1
326,40,144,0
135,217,219,0
259,116,328,0
222,111,51,0
338,11,27,0
262,154,234,1
131,180,177,1
239,99,124,0
271,149,329,0
96,41,246,0
323,56,129,0
234,256,193,1
210,198,207,1
60,17,136,1
65,77,303,0
178,103,288,1
245,253,85,0
160,124,199,0
243,321,269,1
134,321,268,1
109,55,120,1
126,173,221,0
227,289,62,1
148,322,181,1
88,171,63,1
201,255,151,1
158,227,25,0
161,245,101,0
202,333,223,0
324,208,197,0
179,132,11,1
182,332,113,0
110,98,323,0
236,8,241,0
102,26,252,1
233,234,344,0
119,258,47,1
348,230,237,0
188,54,333,0
63,94,167,0
224,177,334,1
144,219,244,0
328,70,18,1
154,245,126,0
223,143,179,1
345,222,163,1
254,313,294,1
70,141,314,1
341,267,98,0
211,112,82,0
175,46,322,0
292,218,164,0
66,203,93,0
315,24,74,1
127,259,44,0
347,75,313,1
312,51,287,1
152,340,196,0
261,209,150,0
19,178,260,1
307,200,292,1
26,248,171,1
329,162,293,1
10,225,298,1
171,93,212,0
226,280,277,1
204,12,26,0
157,16,121,0
339,146,40,1
58,59,217,0
6,290,238,0
106,158,170,0
241,250,300,1
164,266,139,0
104,53,43,1
107,169,310,1
282,50,318,0
193,141,337,1
187,159,166,1
85,125,109,0
311,249,235,0
31,293,200,0
265,298,42,0
320,283,308,1
225,281,5,0
100,192,189,0
122,85,299,1
5,261,331,0
32,81,100,1
322,10,23,1
232,72,128,0
200,334,247,0
105,287,186,1
285,172,253,1
151,179,139,0
101,9,30,0
81,213,230,1
257,207,161,0
25,25,231,1
199,285,239,0
83,221,123,1
318,45,146,0
48,27,68,1
258,68,158,1
22,31,154,1
273,161,229,0
174,0,157,0
50,88,341,1
270,314,76,1
230,276,183,1
46,210,243,0
283,151,345,0
275,3,28,0
74,86,209,1
291,251,176,1
49,157,191,0
143,297,86,0
284,82,53,0
342,296,17,0
287,163,339,0
34,89,49,0
162,327,14,0
288,273,111,1
91,174,131,0
278,323,315,0
309,39,108,0
80,294,190,0
244,194,103,0
279,318,81,0
52,315,330,0
332,132,16,1
209,341,9,1
133,302,59,1
336,320,94,0
64,339,15,0
263,32,338,0
185,100,52,1
340,20,56,1
330,38,240,1
43,279,95,0
40,101,48,0
42,92,141,0
247,60,91,0
191,231,20,1
45,188,34,1
286,76,184,0
192,216,192,0
118,278,342,0
221,270,198,1
130,153,155,0
67,185,202,1
216,41,137,0
12,277,236,0
153,29,156,0
89,337,173,0
72,330,326,1
114,48,325,1
206,183,71,1
266,309,12,0
73,6,270,1
78,141,336,1
28,160,263,1
337,96,289,1
220,326,307,0
228,65,262,1
314,181,1,1
145,108,99,0
197,134,213,1
20,164,90,1
150,33,41,1
137,119,346,0
310,303,286,1
87,252,290,1
306,190,73,1
57,295,295,1
51,66,116,0
308,305,39,0
229,211,206,1
9,275,87,0
8,265,226,0
290,95,138,0
349,2,22,0
142,80,130,0
184,140,89,0
77,28,152,0
180,202,321,1
165,229,165,0
147,272,222,0
39,193,225,0
44,291,139,0
149,22,143,0
276,254,174,1
2,336,119,0
299,244,305,0
55,196,4,0
29,14,6,1
90,156,145,0
69,35,304,0
327,223,281,1
14,129,105,0
116,87,58,1
128,109,46,1
316,204,102,1
76,191,302,1
123,263,256,0
217,170,248,1
18,155,36,1
302,136,70,1
218,180,32,1
305,18,347,1
321,312,282,1
194,147,92,0
168,36,77,0
82,126,324,0
296,307,106,0
319,186,10,0
251,110,3,0
300,90,160,0
295,241,250,1
54,49,276,1
141,137,38,1
94,247,182,1
235,61,172,1
304,199,188,1
136,328,283,1
313,135,19,0
269,121,135,0
277,23,211,0
121,123,228,0
176,127,7,0
177,58,134,1
38,205,79,0
0,310,343,0
